pid	MACCS_0	MACCS_1	MACCS_2	MACCS_3	MACCS_4	MACCS_5	MACCS_6	MACCS_7	MACCS_8	MACCS_9	MACCS_10	MACCS_11	MACCS_12	MACCS_13	MACCS_14	MACCS_15	MACCS_16	MACCS_17	MACCS_18	MACCS_19	MACCS_20	MACCS_21	MACCS_22	MACCS_23	MACCS_24	MACCS_25	MACCS_26	MACCS_27	MACCS_28	MACCS_29	MACCS_30	MACCS_31	MACCS_32	MACCS_33	MACCS_34	MACCS_35	MACCS_36	MACCS_37	MACCS_38	MACCS_39	MACCS_40	MACCS_41	MACCS_42	MACCS_43	MACCS_44	MACCS_45	MACCS_46	MACCS_47	MACCS_48	MACCS_49	MACCS_50	MACCS_51	MACCS_52	MACCS_53	MACCS_54	MACCS_55	MACCS_56	MACCS_57	MACCS_58	MACCS_59	MACCS_60	MACCS_61	MACCS_62	MACCS_63	MACCS_64	MACCS_65	MACCS_66	MACCS_67	MACCS_68	MACCS_69	MACCS_70	MACCS_71	MACCS_72	MACCS_73	MACCS_74	MACCS_75	MACCS_76	MACCS_77	MACCS_78	MACCS_79	MACCS_80	MACCS_81	MACCS_82	MACCS_83	MACCS_84	MACCS_85	MACCS_86	MACCS_87	MACCS_88	MACCS_89	MACCS_90	MACCS_91	MACCS_92	MACCS_93	MACCS_94	MACCS_95	MACCS_96	MACCS_97	MACCS_98	MACCS_99	MACCS_100	MACCS_101	MACCS_102	MACCS_103	MACCS_104	MACCS_105	MACCS_106	MACCS_107	MACCS_108	MACCS_109	MACCS_110	MACCS_111	MACCS_112	MACCS_113	MACCS_114	MACCS_115	MACCS_116	MACCS_117	MACCS_118	MACCS_119	MACCS_120	MACCS_121	MACCS_122	MACCS_123	MACCS_124	MACCS_125	MACCS_126	MACCS_127	MACCS_128	MACCS_129	MACCS_130	MACCS_131	MACCS_132	MACCS_133	MACCS_134	MACCS_135	MACCS_136	MACCS_137	MACCS_138	MACCS_139	MACCS_140	MACCS_141	MACCS_142	MACCS_143	MACCS_144	MACCS_145	MACCS_146	MACCS_147	MACCS_148	MACCS_149	MACCS_150	MACCS_151	MACCS_152	MACCS_153	MACCS_154	MACCS_155	MACCS_156	MACCS_157	MACCS_158	MACCS_159	MACCS_160	MACCS_161	MACCS_162	MACCS_163	MACCS_164	MACCS_165	MACCS_166
44498493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
91668547	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
2531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0
12047199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0
135409642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
46930984	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0
5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0
10067756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
7048589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0
46174525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0
219078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
58525066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0
73265365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0
454469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
656346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
216248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
56947516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0
17754765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
66571548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
5311339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46199646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
11248490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0
4211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
66774402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0
